
*************************************************************************************
threshold=0.5
*************************************************************************************
image:chenweiting_test_1 	 gt_name:chenweiting 	 pre_name(ID):chenweiting_(0)
image:chenweiting_test_10 	 gt_name:chenweiting 	 pre_name(ID):chenweiting_(0)
image:chenweiting_test_11 	 gt_name:chenweiting 	 pre_name(ID):unknown_(-1)
image:chenweiting_test_12 	 gt_name:chenweiting 	 pre_name(ID):unknown_(-1)
image:chenweiting_test_2 	 gt_name:chenweiting 	 pre_name(ID):chenweiting_(0)
image:chenweiting_test_4 	 gt_name:chenweiting 	 pre_name(ID):chenweiting_(0)
image:chenweiting_test_5 	 gt_name:chenweiting 	 pre_name(ID):chenweiting_(0)
image:chenweiting_test_6 	 gt_name:chenweiting 	 pre_name(ID):chenweiting_(0)
image:chenweiting_test_8 	 gt_name:chenweiting 	 pre_name(ID):chenweiting_(0)
image:chenweiting_test_9 	 gt_name:chenweiting 	 pre_name(ID):chenweiting_(0)
image:dengchao_test_1 	 gt_name:dengchao 	 pre_name(ID):dengchao_(1)
image:dengchao_test_10 	 gt_name:dengchao 	 pre_name(ID):dengchao_(1)
image:dengchao_test_12 	 gt_name:dengchao 	 pre_name(ID):unknown_(-1)
image:dengchao_test_13 	 gt_name:dengchao 	 pre_name(ID):unknown_(-1)
image:dengchao_test_4 	 gt_name:dengchao 	 pre_name(ID):dengchao_(1)
image:dengchao_test_5 	 gt_name:dengchao 	 pre_name(ID):dengchao_(1)
image:dengchao_test_6 	 gt_name:dengchao 	 pre_name(ID):dengchao_(1)
image:dengchao_test_7 	 gt_name:dengchao 	 pre_name(ID):dengchao_(1)
image:dengchao_test_8 	 gt_name:dengchao 	 pre_name(ID):dengchao_(1)
image:dengchao_test_9 	 gt_name:dengchao 	 pre_name(ID):dengchao_(1)
image:dilireba_test_1 	 gt_name:dilireba 	 pre_name(ID):dilireba_(2)
image:dilireba_test_10 	 gt_name:dilireba 	 pre_name(ID):dilireba_(2)
image:dilireba_test_2 	 gt_name:dilireba 	 pre_name(ID):dilireba_(2)
image:dilireba_test_3 	 gt_name:dilireba 	 pre_name(ID):dilireba_(2)
image:dilireba_test_4 	 gt_name:dilireba 	 pre_name(ID):dilireba_(2)
image:dilireba_test_5 	 gt_name:dilireba 	 pre_name(ID):dilireba_(2)
image:dilireba_test_6 	 gt_name:dilireba 	 pre_name(ID):dilireba_(2)
image:dilireba_test_7 	 gt_name:dilireba 	 pre_name(ID):dilireba_(2)
image:dilireba_test_8 	 gt_name:dilireba 	 pre_name(ID):dilireba_(2)
image:dilireba_test_9 	 gt_name:dilireba 	 pre_name(ID):dilireba_(2)
image:fanbingbing_test_1 	 gt_name:fanbingbing 	 pre_name(ID):fanbingbing_(3)
image:fanbingbing_test_10 	 gt_name:fanbingbing 	 pre_name(ID):fanbingbing_(3)
image:fanbingbing_test_2 	 gt_name:fanbingbing 	 pre_name(ID):fanbingbing_(3)
image:fanbingbing_test_3 	 gt_name:fanbingbing 	 pre_name(ID):fanbingbing_(3)
image:fanbingbing_test_4 	 gt_name:fanbingbing 	 pre_name(ID):unknown_(-1)
image:fanbingbing_test_5 	 gt_name:fanbingbing 	 pre_name(ID):fanbingbing_(3)
image:fanbingbing_test_6 	 gt_name:fanbingbing 	 pre_name(ID):fanbingbing_(3)
image:fanbingbing_test_7 	 gt_name:fanbingbing 	 pre_name(ID):fanbingbing_(3)
image:fanbingbing_test_8 	 gt_name:fanbingbing 	 pre_name(ID):fanbingbing_(3)
image:fanbingbing_test_9 	 gt_name:fanbingbing 	 pre_name(ID):fanbingbing_(3)
image:guanxiaotong_test_1 	 gt_name:guanxiaotong 	 pre_name(ID):guanxiaotong_(4)
image:guanxiaotong_test_10 	 gt_name:guanxiaotong 	 pre_name(ID):guanxiaotong_(4)
image:guanxiaotong_test_11 	 gt_name:guanxiaotong 	 pre_name(ID):guanxiaotong_(4)
image:guanxiaotong_test_2 	 gt_name:guanxiaotong 	 pre_name(ID):guanxiaotong_(4)
image:guanxiaotong_test_4 	 gt_name:guanxiaotong 	 pre_name(ID):guanxiaotong_(4)
image:guanxiaotong_test_5 	 gt_name:guanxiaotong 	 pre_name(ID):guanxiaotong_(4)
image:guanxiaotong_test_6 	 gt_name:guanxiaotong 	 pre_name(ID):guanxiaotong_(4)
image:guanxiaotong_test_7 	 gt_name:guanxiaotong 	 pre_name(ID):guanxiaotong_(4)
image:guanxiaotong_test_8 	 gt_name:guanxiaotong 	 pre_name(ID):guanxiaotong_(4)
image:guanxiaotong_test_9 	 gt_name:guanxiaotong 	 pre_name(ID):guanxiaotong_(4)
image:gutianle_test_1 	 gt_name:gutianle 	 pre_name(ID):gutianle_(5)
image:gutianle_test_10 	 gt_name:gutianle 	 pre_name(ID):gutianle_(5)
image:gutianle_test_11 	 gt_name:gutianle 	 pre_name(ID):gutianle_(5)
image:gutianle_test_2 	 gt_name:gutianle 	 pre_name(ID):gutianle_(5)
image:gutianle_test_3 	 gt_name:gutianle 	 pre_name(ID):gutianle_(5)
image:gutianle_test_4 	 gt_name:gutianle 	 pre_name(ID):gutianle_(5)
image:gutianle_test_5 	 gt_name:gutianle 	 pre_name(ID):gutianle_(5)
image:gutianle_test_6 	 gt_name:gutianle 	 pre_name(ID):gutianle_(5)
image:gutianle_test_7 	 gt_name:gutianle 	 pre_name(ID):gutianle_(5)
image:gutianle_test_8 	 gt_name:gutianle 	 pre_name(ID):gutianle_(5)
image:gutianle_test_9 	 gt_name:gutianle 	 pre_name(ID):gutianle_(5)
image:libingbing_test_1 	 gt_name:libingbing 	 pre_name(ID):libingbing_(6)
image:libingbing_test_10 	 gt_name:libingbing 	 pre_name(ID):libingbing_(6)
image:libingbing_test_2 	 gt_name:libingbing 	 pre_name(ID):libingbing_(6)
image:libingbing_test_3 	 gt_name:libingbing 	 pre_name(ID):libingbing_(6)
image:libingbing_test_4 	 gt_name:libingbing 	 pre_name(ID):libingbing_(6)
image:libingbing_test_5 	 gt_name:libingbing 	 pre_name(ID):libingbing_(6)
image:libingbing_test_6 	 gt_name:libingbing 	 pre_name(ID):libingbing_(6)
image:libingbing_test_7 	 gt_name:libingbing 	 pre_name(ID):libingbing_(6)
image:libingbing_test_8 	 gt_name:libingbing 	 pre_name(ID):libingbing_(6)
image:libingbing_test_9 	 gt_name:libingbing 	 pre_name(ID):libingbing_(6)
image:liudehua_test_10 	 gt_name:liudehua 	 pre_name(ID):liudehua_(7)
image:liudehua_test_2 	 gt_name:liudehua 	 pre_name(ID):liudehua_(7)
image:liudehua_test_3 	 gt_name:liudehua 	 pre_name(ID):liudehua_(7)
image:liudehua_test_4 	 gt_name:liudehua 	 pre_name(ID):liudehua_(7)
image:liudehua_test_5 	 gt_name:liudehua 	 pre_name(ID):liudehua_(7)
image:liudehua_test_6 	 gt_name:liudehua 	 pre_name(ID):liudehua_(7)
image:liudehua_test_7 	 gt_name:liudehua 	 pre_name(ID):liudehua_(7)
image:liudehua_test_8 	 gt_name:liudehua 	 pre_name(ID):liudehua_(7)
image:liudehua_test_9 	 gt_name:liudehua 	 pre_name(ID):liudehua_(7)
image:liushishi_test_10 	 gt_name:liushishi 	 pre_name(ID):liushishi_(8)
image:liushishi_test_11 	 gt_name:liushishi 	 pre_name(ID):liushishi_(8)
image:liushishi_test_12 	 gt_name:liushishi 	 pre_name(ID):liushishi_(8)
image:liushishi_test_2 	 gt_name:liushishi 	 pre_name(ID):liushishi_(8)
image:liushishi_test_3 	 gt_name:liushishi 	 pre_name(ID):liushishi_(8)
image:liushishi_test_4 	 gt_name:liushishi 	 pre_name(ID):liushishi_(8)
image:liushishi_test_5 	 gt_name:liushishi 	 pre_name(ID):liushishi_(8)
image:liushishi_test_6 	 gt_name:liushishi 	 pre_name(ID):liushishi_(8)
image:liushishi_test_7 	 gt_name:liushishi 	 pre_name(ID):liushishi_(8)
image:liushishi_test_8 	 gt_name:liushishi 	 pre_name(ID):liushishi_(8)
image:liushishi_test_9 	 gt_name:liushishi 	 pre_name(ID):liushishi_(8)
image:liuyifei_test_1 	 gt_name:liuyifei 	 pre_name(ID):liuyifei_(9)
image:liuyifei_test_10 	 gt_name:liuyifei 	 pre_name(ID):liuyifei_(9)
image:liuyifei_test_2 	 gt_name:liuyifei 	 pre_name(ID):liuyifei_(9)
image:liuyifei_test_3 	 gt_name:liuyifei 	 pre_name(ID):liuyifei_(9)
image:liuyifei_test_4 	 gt_name:liuyifei 	 pre_name(ID):liuyifei_(9)
image:liuyifei_test_5 	 gt_name:liuyifei 	 pre_name(ID):liuyifei_(9)
image:liuyifei_test_6 	 gt_name:liuyifei 	 pre_name(ID):liuyifei_(9)
image:liuyifei_test_7 	 gt_name:liuyifei 	 pre_name(ID):liuyifei_(9)
image:liuyifei_test_8 	 gt_name:liuyifei 	 pre_name(ID):liuyifei_(9)
image:liuyifei_test_9 	 gt_name:liuyifei 	 pre_name(ID):liuyifei_(9)
image:liyifeng_test_1 	 gt_name:liyifeng 	 pre_name(ID):unknown_(-1)
image:liyifeng_test_10 	 gt_name:liyifeng 	 pre_name(ID):liyifeng_(10)
image:liyifeng_test_3 	 gt_name:liyifeng 	 pre_name(ID):liyifeng_(10)
image:liyifeng_test_4 	 gt_name:liyifeng 	 pre_name(ID):liyifeng_(10)
image:liyifeng_test_5 	 gt_name:liyifeng 	 pre_name(ID):liyifeng_(10)
image:liyifeng_test_6 	 gt_name:liyifeng 	 pre_name(ID):liyifeng_(10)
image:liyifeng_test_7 	 gt_name:liyifeng 	 pre_name(ID):liyifeng_(10)
image:liyifeng_test_8 	 gt_name:liyifeng 	 pre_name(ID):liyifeng_(10)
image:liyifeng_test_9 	 gt_name:liyifeng 	 pre_name(ID):liyifeng_(10)
image:luhan_test_1 	 gt_name:luhan 	 pre_name(ID):luhan_(11)
image:luhan_test_10 	 gt_name:luhan 	 pre_name(ID):luhan_(11)
image:luhan_test_2 	 gt_name:luhan 	 pre_name(ID):luhan_(11)
image:luhan_test_3 	 gt_name:luhan 	 pre_name(ID):luhan_(11)
image:luhan_test_4 	 gt_name:luhan 	 pre_name(ID):luhan_(11)
image:luhan_test_5 	 gt_name:luhan 	 pre_name(ID):luhan_(11)
image:luhan_test_6 	 gt_name:luhan 	 pre_name(ID):luhan_(11)
image:luhan_test_7 	 gt_name:luhan 	 pre_name(ID):luhan_(11)
image:luhan_test_8 	 gt_name:luhan 	 pre_name(ID):luhan_(11)
image:luhan_test_9 	 gt_name:luhan 	 pre_name(ID):luhan_(11)
image:sunli_test_1 	 gt_name:sunli 	 pre_name(ID):sunli_(12)
image:sunli_test_11 	 gt_name:sunli 	 pre_name(ID):sunli_(12)
image:sunli_test_2 	 gt_name:sunli 	 pre_name(ID):sunli_(12)
image:sunli_test_3 	 gt_name:sunli 	 pre_name(ID):sunli_(12)
image:sunli_test_4 	 gt_name:sunli 	 pre_name(ID):sunli_(12)
image:sunli_test_5 	 gt_name:sunli 	 pre_name(ID):sunli_(12)
image:sunli_test_6 	 gt_name:sunli 	 pre_name(ID):sunli_(12)
image:sunli_test_7 	 gt_name:sunli 	 pre_name(ID):sunli_(12)
image:sunli_test_8 	 gt_name:sunli 	 pre_name(ID):sunli_(12)
image:sunli_test_9 	 gt_name:sunli 	 pre_name(ID):sunli_(12)
image:wuqilong_test_1 	 gt_name:wuqilong 	 pre_name(ID):wuqilong_(13)
image:wuqilong_test_10 	 gt_name:wuqilong 	 pre_name(ID):wuqilong_(13)
image:wuqilong_test_11 	 gt_name:wuqilong 	 pre_name(ID):unknown_(-1)
image:wuqilong_test_2 	 gt_name:wuqilong 	 pre_name(ID):wuqilong_(13)
image:wuqilong_test_3 	 gt_name:wuqilong 	 pre_name(ID):wuqilong_(13)
image:wuqilong_test_4 	 gt_name:wuqilong 	 pre_name(ID):wuqilong_(13)
image:wuqilong_test_5 	 gt_name:wuqilong 	 pre_name(ID):wuqilong_(13)
image:wuqilong_test_6 	 gt_name:wuqilong 	 pre_name(ID):wuqilong_(13)
image:wuqilong_test_7 	 gt_name:wuqilong 	 pre_name(ID):wuqilong_(13)
image:wuqilong_test_8 	 gt_name:wuqilong 	 pre_name(ID):wuqilong_(13)
image:wuqilong_test_9 	 gt_name:wuqilong 	 pre_name(ID):wuqilong_(13)
image:xiena_test_10 	 gt_name:xiena 	 pre_name(ID):xiena_(14)
image:xiena_test_2 	 gt_name:xiena 	 pre_name(ID):xiena_(14)
image:xiena_test_3 	 gt_name:xiena 	 pre_name(ID):xiena_(14)
image:xiena_test_4 	 gt_name:xiena 	 pre_name(ID):xiena_(14)
image:xiena_test_5 	 gt_name:xiena 	 pre_name(ID):xiena_(14)
image:xiena_test_6 	 gt_name:xiena 	 pre_name(ID):xiena_(14)
image:xiena_test_8 	 gt_name:xiena 	 pre_name(ID):xiena_(14)
image:xiena_test_9 	 gt_name:xiena 	 pre_name(ID):unknown_(-1)
image:yangyang_test_1 	 gt_name:yangyang 	 pre_name(ID):yangyang_(15)
image:yangyang_test_10 	 gt_name:yangyang 	 pre_name(ID):yangyang_(15)
image:yangyang_test_11 	 gt_name:yangyang 	 pre_name(ID):yangyang_(15)
image:yangyang_test_3 	 gt_name:yangyang 	 pre_name(ID):yangyang_(15)
image:yangyang_test_4 	 gt_name:yangyang 	 pre_name(ID):yangyang_(15)
image:yangyang_test_5 	 gt_name:yangyang 	 pre_name(ID):yangyang_(15)
image:yangyang_test_6 	 gt_name:yangyang 	 pre_name(ID):yangyang_(15)
image:yangyang_test_7 	 gt_name:yangyang 	 pre_name(ID):yangyang_(15)
image:yangyang_test_8 	 gt_name:yangyang 	 pre_name(ID):yangyang_(15)
image:yangyang_test_9 	 gt_name:yangyang 	 pre_name(ID):yangyang_(15)
image:zhangjie_test_1 	 gt_name:zhangjie 	 pre_name(ID):zhangjie_(16)
image:zhangjie_test_2 	 gt_name:zhangjie 	 pre_name(ID):zhangjie_(16)
image:zhangjie_test_3 	 gt_name:zhangjie 	 pre_name(ID):zhangjie_(16)
image:zhangjie_test_6 	 gt_name:zhangjie 	 pre_name(ID):zhangjie_(16)
image:zhangjie_test_7 	 gt_name:zhangjie 	 pre_name(ID):zhangjie_(16)
image:zhangjie_test_9 	 gt_name:zhangjie 	 pre_name(ID):zhangjie_(16)
image:zhangweijian_test_1 	 gt_name:zhangweijian 	 pre_name(ID):zhangweijian_(17)
image:zhangweijian_test_10 	 gt_name:zhangweijian 	 pre_name(ID):zhangweijian_(17)
image:zhangweijian_test_2 	 gt_name:zhangweijian 	 pre_name(ID):zhangweijian_(17)
image:zhangweijian_test_3 	 gt_name:zhangweijian 	 pre_name(ID):zhangweijian_(17)
image:zhangweijian_test_4 	 gt_name:zhangweijian 	 pre_name(ID):zhangweijian_(17)
image:zhangweijian_test_5 	 gt_name:zhangweijian 	 pre_name(ID):zhangweijian_(17)
image:zhangweijian_test_6 	 gt_name:zhangweijian 	 pre_name(ID):zhangweijian_(17)
image:zhangweijian_test_7 	 gt_name:zhangweijian 	 pre_name(ID):zhangweijian_(17)
image:zhangweijian_test_8 	 gt_name:zhangweijian 	 pre_name(ID):zhangweijian_(17)
